id,name,description,price,stock,category,country_of_origin,brand,weight_kg
SPT-4001,Yoga Mat Premium 6mm,Non-slip TPE eco-friendly with carrying strap,34.99,480,Fitness,Taiwan,ZenFit,1.2
SPT-4002,Adjustable Dumbbell Set 5-25lb,Space-saving dial adjustment system,199.99,65,Weights,China,IronCore,12.5
SPT-4003,Resistance Bands Set 5pc,Latex-free with door anchor and handles,24.99,720,Fitness,Malaysia,FlexBand,0.8
SPT-4004,Camping Tent 4-Person,Waterproof instant setup dome design,149.99,95,Camping,China,TrailBlaze,4.8
SPT-4005,Insulated Water Bottle 32oz,Stainless steel keeps cold 24hr,29.99,560,Hydration,China,HydroMax,0.45
SPT-4006,Running Armband Phone Holder,Sweat-resistant fits phones up to 6.5in,16.99,890,Accessories,China,RunGear,0.08
SPT-4007,Foam Roller 18-inch,High-density muscle recovery trigger point,22.99,345,Recovery,China,RecoverPro,0.65
SPT-4008,Hiking Backpack 40L,Hydration compatible with rain cover,79.99,185,Backpacks,Vietnam,TrailBlaze,1.4
SPT-4009,Jump Rope Speed Pro,Ball bearing handles adjustable length,14.99,680,Cardio,China,CardioMax,0.25
SPT-4010,Compression Sleeves Calf 2pk,Graduated compression 20-30mmHg,24.99,420,Recovery,China,RecoverPro,0.15
SPT-4011,Fishing Rod Combo Spinning,Medium action with pre-spooled reel,59.99,145,Fishing,China,CastPro,0.85
SPT-4012,Bicycle Helmet Adult,MIPS technology adjustable fit,69.99,210,Cycling,China,SafeRide,0.32
SPT-4013,Kettlebell Cast Iron 25lb,Wide grip handle vinyl coated,44.99,280,Weights,China,IronCore,11.3
SPT-4014,Sleeping Bag 3-Season,Mummy style rated to 20°F synthetic,89.99,125,Camping,China,TrailBlaze,1.8
SPT-4015,Pull-Up Bar Doorway,No screws multi-grip positions,34.99,365,Fitness,China,IronCore,2.2

